Id,topic,Label,tt_prime,tt_raw,coherence,prevalence,ST_Topic
t.47,t.47,trade,"saharan, nafta, fresh, textile, concession, africa, reciprocity, trade, bilateral, negotiation","trade, agreement, representative, foreign, export, special, committee, doc, tariff, negotiation",0.1,0.93647516,FALSE
t.57,t.57,title,"ratification, substandard, delegating, empowered, affixed, approval, discontinue, superseding, expediting, delegate","title, sec, code, regulation, action, respect, stat, function, exercise, approval",0.14,2.59327343,FALSE
t.12,t.12,space,"flood, housing, stipulated, redevelopment, architectural, construction, census, space, fire, locating","housing, project, construction, work, building, space, area, agency, facility, administrator",0.14,0.761437695,FALSE
t.38,t.38,shipment,"pound, crating, unpacking, drayage, voucher, chargeable, household, shipment, weight, valuation","transportation, expense, station, shipment, weight, good, travel, duty, government, household",0.19,0.656280891,FALSE
t.53,t.53,service,"opm, customer, controller, staffing, usa, studying, timeliness, inspector, expectation, comparison","service, management, agency, program, personnel, government, director, system, office, training",0.2,1.060207615,FALSE
t.78,t.78,service,"noncompetitively, probationary, converted, probational, noncompetitive, noncareer, competitive, reinstatement, intermittent, qualifying","service, civil, position, appointment, commission, competitive, employee, career, person, rule",0.14,1.985163745,FALSE
t.7,t.7,seal,"coat, argent, edged, encircled, scroll, dark, sinister, hoist, azure, dexter","seal, proclamation, flag, work, design, made, hour, blue, national, official",0.11,0.975578122,FALSE
t.33,t.33,science,"pcast, bioethic, research, science, stem, cell, nstc, behavioral, laboratory, nsf","science, research, technology, national, development, human, policy, government, ostp, nsf",0.23,0.625284488,TRUE
t.15,t.15,schedule,"cutoff, clemente, aging, biscayne, teletype, placing, calif, sport, fla, fitness","note, release, code, level, press, title, schedule, position, form, johnson",0.16,2.695221196,FALSE
t.71,t.71,schedule,"comparability, upward, surgery, intermediate, midshipman, monthly, locality, cadet, adjusting, rate","schedule, pay, rate, basic, service, sec, salary, part, made, attached",0.24,1.762008199,FALSE
t.56,t.56,rule,"discovered, sponte, authenticity, admissible, suspect, inadmissible, stipulation, search, sua, testifying","rule, evidence, military, judge, witness, accused, person, statement, information, paragraph",0.17,0.284246274,FALSE
t.9,t.9,retirement,"reef, habitat, mammal, beauty, aquatic, magnuson, wilderness, treasure, steven, recreational","retirement, resource, area, wildlife, environment, public, conservation, national, species, recreation",0.21,1.206085926,FALSE
t.61,t.61,retirement,"annuity, retainer, deficit, annuitant, spending, participant, pension, multiplied, reconciliation, dy","year, service, retirement, date, percent, system, subsection, fiscal, annuity, disability",0.12,0.949451894,FALSE
t.3,t.3,reserve,"disperse, enlistment, ready, relieved, dispersed, geodetic, petty, clothing, guard, recalled","reserve, guard, coast, active, force, duty, member, armed, navy, service",0.35,1.431250841,FALSE
t.54,t.54,regulatory,"oira, federalism, rulemaking, uniquely, mandate, regulatory, uncertainty, exigent, adhering, paperwork","agency, regulation, regulatory, action, government, rule, policy, proposed, extent, sec",0.18,0.826900636,FALSE
t.73,t.73,regulation,"quetico, missing, supp, revoking, revised, untied, cong, german, aforesaid, extension","stat, june, august, july, regulation, harrystruman, public, march, december, january",0.07,3.394535145,FALSE
t.19,t.19,registrant,"conscientiously, anew, postponed, reopen, sss, postponement, mailing, disqualifying, triplicate, mail","registrant, board, form, local, sss, induction, force, armed, report, service",0.36,0.451309139,FALSE
t.46,t.46,registrant,"nonvolunteer, reopened, youngest, conception, oldest, abbreviation, objector, deferred, noncombatant, registrar","service, class, registrant, selective, board, local, classification, person, part, registration",0.3,0.825584417,FALSE
t.72,t.72,railroad,"pittsburgh, erie, toledo, denver, minneapoli, baltimore, boston, duluth, peoria, lehigh","railroad, company, railway, terminal, pacific, western, chicago, union, southern, texa",0.32,1.194135175,FALSE
t.21,t.21,property,"algeria, acquittance, intervene, barred, normalization, philippine, constitutionally, compelled, popular, hostage","doj, property, alien, national, government, philippine, privilege, power, record, claim",0.13,0.82522076,FALSE
t.39,t.39,property,"domain, alienation, patent, indian, underutilized, fissionable, tribe, invention, real, supportive","property, alaska, land, indian, government, doi, tribal, real, public, tribe",0.17,0.697014142,FALSE
